Species primary name,Species tertiary name,BirdMAP ID,Date,Time,Seen/Heard,Latitude,Longitude,Notes,Count,Count exact,Dead/Alive,Altitude,Ring number,Age count - Adult,Age count - Sub-adult,Age count - Immature,Age count - Juvenile,Age count - Chick,Gender count - Male,Gender count - Female,Breeding status,Colouration,Fed by,Feeding,Flight direction,Habitat,Roosting site,Sighting direction,Sighting distance,Activity,Feeding on,Fieldsheet,Location name,ISO date
Unidentified,Unidentified,0,2021-03-19,10:00,Seen,-3.338064,40.012966,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-19T10:00:04.567+0300
Lesser Masked Weaver,Ploceus intermedius,792,2021-03-19,09:58,Seen,-3.338144,40.012664,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-19T09:58:39.773+0300
White-throated Bee-eater,Merops albicollis,1034,2021-03-19,09:45,Seen,-3.338256,40.009814,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-19T09:45:32.403+0300
Tawny-flanked Prinia,Prinia subflava,649,2021-03-19,09:38,Seen,-3.338368,40.007899,,1,false,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-19T09:38:34.211+0300
White-browed Coucal,Centropus superciliosus,1036,2021-03-19,09:27,Seen,-3.338685,40.003668,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-19T09:27:14.165+0300
Black-backed Puffback,Dryoscopus cubla,712,2021-03-19,09:24,Heard,-3.338676,40.002854,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-19T09:24:33.252+0300
Black-headed Oriole,Oriolus larvatus,521,2021-03-19,09:16,Heard,-3.338884,40.000479,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-19T09:16:59.428+0300
Grey-headed Kingfisher,Halcyon leucocephala,401,2021-03-19,09:16,Seen,-3.338876,40.000366,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-19T09:16:33.827+0300
Unidentified,Unidentified,0,2021-03-18,10:00,Seen,-3.337826,40.013063,,1,false,Alive,13,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T10:00:04.588+0300
Black-bellied Starling,Notopholia corusca,740,2021-03-18,09:54,Seen,-3.338412,40.014297,,1,false,Alive,11,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T09:54:12.095+0300
Olive Sunbird,Cyanomitra olivacea,766,2021-03-18,09:38,Seen,-3.3403,40.018111,,1,false,Alive,21,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T09:38:09.488+0300
Spotted Flycatcher,Muscicapa striata,654,2021-03-18,09:26,Seen,-3.340518,40.019796,,1,false,Alive,12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T09:26:20.683+0300
Black-headed Oriole,Oriolus larvatus,521,2021-03-18,09:23,Heard,-3.341306,40.019792,,1,false,Alive,21,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T09:23:28.506+0300
Northern Brownbul,Phyllastrephus strepitans,3024,2021-03-18,09:23,Heard,-3.34143,40.019852,,1,false,Alive,56,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T09:23:12.850+0300
African Pied Wagtail,Motacilla aguimp,685,2021-03-18,09:16,Seen,-3.343379,40.020039,,1,false,Alive,14,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T09:16:02.611+0300
Ring-necked Dove,Streptopelia capicola,316,2021-03-18,09:09,Seen,-3.344962,40.019905,,1,false,Alive,13,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T09:09:35.765+0300
House Sparrow,Passer domesticus,784,2021-03-18,09:09,Seen,-3.344916,40.019856,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T09:09:21.135+0300
Collared Sunbird,Hedydipna collaris,771,2021-03-18,09:05,Seen,-3.344979,40.018878,,1,false,Alive,12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T09:05:13.418+0300
Black-crowned Tchagra,Tchagra senegalus,715,2021-03-18,09:04,Heard,-3.344997,40.018825,,1,false,Alive,12,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T09:04:47.293+0300
Village Weaver,Ploceus cucullatus,797,2021-03-18,09:02,Seen,-3.345028,40.018228,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T09:02:51.161+0300
African Pied Wagtail,Motacilla aguimp,685,2021-03-18,09:01,Heard,-3.34501,40.01817,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T09:01:28.104+0300
Common Drongo,Dicrurus adsimilis,517,2021-03-18,09:01,Heard,-3.34503,40.018153,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T09:01:18.373+0300
Lesser Masked Weaver,Ploceus intermedius,792,2021-03-18,09:01,Heard,-3.34503,40.018153,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T09:01:11.037+0300
Dodson's Bulbul,Pycnonotus barbatus dodsoni,3032,2021-03-18,09:00,Heard,-3.34503,40.018153,,1,false,Alive,15,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T09:00:48.695+0300
Eurasian Golden Oriole,Oriolus oriolus,519,2021-03-18,09:00,Seen,-3.345033,40.018153,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T09:00:37.053+0300
House Crow,Corvus splendens,989,2021-03-18,09:00,Seen,-3.345018,40.018121,,1,false,Alive,16,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T09:00:20.872+0300
Unidentified,Unidentified,0,2021-03-18,09:00,Seen,-3.34502,40.018126,,1,false,Alive,18,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T09:00:14.445+0300
Unidentified,Unidentified,0,2021-03-18,09:00,Seen,-3.34501,40.018114,,1,false,Alive,17,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T09:00:11.226+0300
Green Barbet,Cryptolybia olivacea,435,2021-03-18,08:50,Heard,-3.343088,40.018128,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T08:50:40.822+0300
Black Kite (resident),Milvus migrans aegyptius/parasitus,129,2021-03-18,08:46,Seen,-3.342081,40.018024,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T08:46:55.189+0300
Little Swift,Apus affinis,385,2021-03-18,08:46,Seen,-3.342048,40.018028,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T08:46:47.444+0300
Emerald-spotted Wood Dove,Turtur chalcospilos,321,2021-03-18,08:41,Heard,-3.340696,40.017851,,1,false,Alive,6,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T08:41:32.922+0300
Yellow-fronted Canary,Crithagra mozambica,859,2021-03-18,08:39,Heard,-3.340466,40.017906,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T08:39:56.834+0300
Red-cheeked Cordon-bleu,Uraeginthus bengalus,3974,2021-03-18,08:39,Heard,-3.340439,40.017901,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T08:39:44.817+0300
Pied Crow,Corvus albus,522,2021-03-18,08:38,Seen,-3.340307,40.017905,,1,false,Alive,-3,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T08:38:11.824+0300
Amethyst Sunbird,Chalcomitra amethystina,772,2021-03-18,08:31,Seen,-3.338447,40.017925,,1,false,Alive,-1,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T08:31:45.309+0300
Zanzibar Greenbul,Andropadus importunus,551,2021-03-18,08:31,Heard,-3.338471,40.017904,,1,false,Alive,-2,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T08:31:09.876+0300
Collared Sunbird,Hedydipna collaris,771,2021-03-18,08:30,Seen,-3.338258,40.017883,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T08:30:36.412+0300
African Bare-eyed Thrush,Turdus tephronotus,2750,2021-03-18,08:17,Seen,-3.334062,40.017493,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T08:17:03.108+0300
Eurasian Golden Oriole,Oriolus oriolus,519,2021-03-18,08:15,Seen,-3.333627,40.017468,,1,false,Alive,8,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T08:15:17.077+0300
Violet-backed Starling,Cinnyricinclus leucogaster,736,2021-03-18,08:14,Seen,-3.333655,40.017483,,1,false,Alive,7,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0320_4000_2021-03-18,,2021-03-18T08:14:49.158+0300
Olive Sunbird,Cyanomitra olivacea,766,2021-03-19,06:54,Heard,-3.33229,40.001084,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-17,,2021-03-19T06:54:31.121+0300
White-browed Coucal,Centropus superciliosus,1036,2021-03-19,06:50,Seen,-3.332177,40.001884,,1,false,Alive,4,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-17,,2021-03-19T06:50:23.068+0300
Zanzibar Greenbul,Andropadus importunus,551,2021-03-19,06:50,Heard,-3.332226,40.001889,,1,false,Alive,5,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-17,,2021-03-19T06:50:12.248+0300
Amethyst Sunbird,Chalcomitra amethystina,772,2021-03-19,06:37,Seen,-3.3317,40.00537,,1,false,Alive,0,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-17,,2021-03-19T06:37:42.365+0300
Grey-backed Camaroptera,Camaroptera brachyura brevicaudata/tincta/abessinica/insulata/erlangeri/griseigula/intercalata/sharpei/transitiva/beirensis,628,2021-03-19,06:31,Heard,-3.331553,40.006889,,1,false,Alive,6,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-17,,2021-03-19T06:31:01.210+0300
Speckled Mousebird,Colius striatus,390,2021-03-19,06:27,Heard,-3.331461,40.007803,,1,false,Alive,6,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-17,,2021-03-19T06:27:21.045+0300
Emerald-spotted Wood Dove,Turtur chalcospilos,321,2021-03-19,06:25,Heard,-3.331412,40.008334,,1,false,Alive,9,,0,0,0,0,0,0,0,Not specified,Not specified,Not specified,Not specified,Not specified,Not Specified:Other,Not specified,Not specified,,Not specified,Not specified,0315_4000_2021-03-17,,2021-03-19T06:25:17.524+0300
